,playerName,shotQualityVsExpected,shots,goals,xGPerShot,totalxG,goalsPerShots,diffPerShot,goalsDiff,goalsAddedByShotQuality
0,Luis Diaz,0.004096610285377692,26,11,0.17307692307692307,4.5,0.4230769230769231,0.25,6.5,0.10651186741981998
1,Mohamed Salah,-0.0024664818853101025,94,36,0.21446808510638302,20.160000000000004,0.3829787234042553,0.1685106382978723,15.839999999999996,-0.23184929721914965
2,Darwin Nunez,-0.002802757574363119,24,10,0.16583333333333333,3.98,0.4166666666666667,0.25083333333333335,6.02,-0.06726618178471486
4,Diogo Jota,-0.0020128979369605313,13,6,0.2515384615384615,3.2699999999999996,0.46153846153846156,0.21000000000000008,2.7300000000000004,-0.026167673180486906
7,Cody Gakpo,-0.00016190288673575092,15,7,0.17733333333333334,2.66,0.4666666666666667,0.28933333333333333,4.34,-0.0024285433010362636
9,Alexis Mac Allister,-0.0004967743291769225,12,4,0.13499999999999998,1.6199999999999999,0.3333333333333333,0.19833333333333333,2.38,-0.005961291950123071
11,Dominik Szoboszlai,0.0026174643846396434,18,5,0.20555555555555557,3.7,0.2777777777777778,0.07222222222222222,1.2999999999999998,0.04711435892351358
14,Trent Alexander-Arnold,0.0009533972461477765,14,4,0.05714285714285714,0.7999999999999999,0.2857142857142857,0.22857142857142856,3.2,0.01334756144606887
15,Gabriel Martinelli,-0.018308657453773122,16,6,0.20875,3.34,0.375,0.16625,2.66,-0.29293851926036996
16,Kai Havertz,-0.00056909404808543,20,9,0.286,5.72,0.45,0.16400000000000003,3.2800000000000002,-0.011381880961708599
17,Leandro Trossard,0.004374203705814411,17,5,0.16999999999999998,2.8899999999999997,0.29411764705882354,0.12411764705882355,2.1100000000000003,0.074361462998845
21,Bukayo Saka,0.005302283946365651,18,5,0.1322222222222222,2.38,0.2777777777777778,0.14555555555555558,2.62,0.09544111103458172
23,Riccardo Calafiori,-0.0010278318443960553,18,6,0.105,1.89,0.3333333333333333,0.22833333333333333,4.11,-0.018500973199128995
25,Mikel Merino,-0.008418958934462189,13,6,0.1992307692307692,2.59,0.46153846153846156,0.26230769230769235,3.41,-0.10944646614800846
27,Morgan Gibbs-White,-0.004704546882113898,18,5,0.11166666666666665,2.01,0.2777777777777778,0.16611111111111115,2.99,-0.08468184387805017
28,Anthony Elanga,0.006160487378775952,60,20,0.15466666666666667,9.280000000000001,0.3333333333333333,0.17866666666666664,10.719999999999999,0.3696292427265571
30,Ryan Yates,0.009211292861269113,18,4,0.08777777777777779,1.5800000000000003,0.2222222222222222,0.13444444444444442,2.42,0.16580327150284402
31,Chris Wood,0.0022299296610512713,29,15,0.21034482758620687,6.1,0.5172413793103449,0.306896551724138,8.9,0.06466796017048687
32,Callum Hudson-Odoi,-0.001752793415761263,17,5,0.05647058823529412,0.9600000000000001,0.29411764705882354,0.23764705882352943,4.04,-0.02979748806794147
35,Jota Silva,0.013747596997657884,14,6,0.12714285714285714,1.78,0.42857142857142855,0.3014285714285714,4.22,0.19246635796721037
41,Joelinton,-0.0050599105722944895,14,4,0.11857142857142858,1.6600000000000001,0.2857142857142857,0.16714285714285712,2.34,-0.07083874801212285
42,Bruno Guimaraes,0.00192132889992951,30,12,0.227,6.8100000000000005,0.4,0.17300000000000001,5.1899999999999995,0.0576398669978853
44,Jacob Murphy,-0.0036151333339012573,14,7,0.24500000000000002,3.43,0.5,0.255,3.57,-0.0506118666746176
49,Alexander Isak,0.0001738054223609382,170,90,0.32323529411764707,54.95,0.5294117647058824,0.2061764705882353,35.05,0.029546921801359496
50,Harvey Barnes,-0.003198594104432298,15,8,0.22266666666666668,3.3400000000000003,0.5333333333333333,0.31066666666666665,4.66,-0.04797891156648447
59,Kevin De Bruyne,0.008659091284786561,13,3,0.12153846153846157,1.5800000000000003,0.23076923076923078,0.10923076923076921,1.4199999999999997,0.11256818670222529
60,Omar Marmoush,-0.003991670924605,14,6,0.17500000000000002,2.45,0.42857142857142855,0.25357142857142856,3.55,-0.055883392944470006
61,Josko Gvardiol,0.0028188422071163425,11,5,0.11999999999999998,1.3199999999999998,0.45454545454545453,0.33454545454545453,3.68,0.031007264278279767
63,Christopher Nkunku,0.004000055119700643,72,18,0.30416666666666664,21.9,0.25,-0.05416666666666664,-3.8999999999999986,0.2880039686184463
64,Nicolas Jackson,-0.0015844094346124746,32,9,0.2378125,7.61,0.28125,0.04343749999999999,1.3899999999999997,-0.05070110190759919
65,Noni Madueke,-0.0030358541101650205,26,7,0.17000000000000004,4.420000000000001,0.2692307692307692,0.09923076923076918,2.579999999999999,-0.07893220686429053
67,Cole Palmer,0.0006026468890071976,40,10,0.162,6.48,0.25,0.088,3.5199999999999996,0.024105875560287905
74,Pedro Neto,0.011343330436903644,12,3,0.06416666666666669,0.7700000000000002,0.25,0.1858333333333333,2.2299999999999995,0.13611996524284373
83,Ollie Watkins,0.0015021440428764081,33,12,0.23484848484848486,7.750000000000001,0.36363636363636365,0.12878787878787878,4.249999999999999,0.04957075341492147
87,Leon Bailey,-0.0019257790704549544,12,2,0.09333333333333334,1.12,0.16666666666666666,0.07333333333333332,0.8799999999999999,-0.023109348845459454
88,Youri Tielemans,0.0038045979091508005,11,2,0.08181818181818183,0.9000000000000001,0.18181818181818182,0.09999999999999999,1.0999999999999999,0.041850577000658806
93,Evanilson,-0.0023611224808305375,27,9,0.2614814814814815,7.0600000000000005,0.3333333333333333,0.07185185185185183,1.9399999999999995,-0.06375030698242451
94,Dango Ouattara,0.00440361253670116,17,7,0.22882352941176468,3.8899999999999997,0.4117647058823529,0.18294117647058825,3.1100000000000003,0.07486141312391972
95,Antoine Semenyo,0.0017046014305910366,148,32,0.12486486486486487,18.48,0.21621621621621623,0.09135135135135136,13.52,0.2522810117274734
96,Justin Kluivert,-0.009456376711014245,66,18,0.12500000000000003,8.250000000000002,0.2727272727272727,0.14772727272727268,9.749999999999998,-0.6241208629269401
97,Ryan Christie,-0.0029628395122687197,11,2,0.06545454545454546,0.7200000000000001,0.18181818181818182,0.11636363636363636,1.2799999999999998,-0.03259123463495592
98,Marcus Tavernier,-0.0025951374797932164,15,3,0.16599999999999998,2.4899999999999998,0.2,0.03400000000000003,0.5100000000000002,-0.038927062196898246
105,Alex Iwobi,-0.0009186486025350387,26,8,0.09153846153846154,2.38,0.3076923076923077,0.21615384615384617,5.62,-0.023884863665911006
106,Rodrigo Muniz,-0.0010078674285300083,19,8,0.18157894736842106,3.45,0.42105263157894735,0.23947368421052628,4.55,-0.019149481142070157
125,Kaoru Mitoma,0.0007691636696777168,22,6,0.19363636363636366,4.260000000000001,0.2727272727272727,0.07909090909090905,1.7399999999999993,0.01692160073290977
128,Georginio Rutter,0.0062316372024134765,24,10,0.15833333333333335,3.8000000000000003,0.4166666666666667,0.2583333333333333,6.199999999999999,0.14955929285792344
130,Yankuba Minteh,0.005079170384510163,13,5,0.20615384615384613,2.6799999999999997,0.38461538461538464,0.1784615384615385,2.3200000000000003,0.06602921499863212
133,Danny Welbeck,0.007372281679218572,38,16,0.22578947368421054,8.58,0.42105263157894735,0.1952631578947368,7.42,0.2801467038103057
136,Joao Pedro,-0.010166440834467607,15,5,0.17200000000000004,2.5800000000000005,0.3333333333333333,0.16133333333333327,2.4199999999999995,-0.1524966125170141
140,Kevin Schade,0.0033050524660570477,18,7,0.18722222222222223,3.37,0.3888888888888889,0.20166666666666666,3.63,0.059490944389026856
142,Keane Lewis-Potter,-0.004706285664108023,28,2,0.10571428571428569,2.9599999999999995,0.07142857142857142,-0.03428571428571427,-0.9599999999999995,-0.13177599859502465
146,Yoane Wissa,0.004699618951885107,33,15,0.2927272727272727,9.66,0.45454545454545453,0.1618181818181818,5.34,0.15508742541220855
148,Bryan Mbeumo,-0.002319042788680694,58,22,0.1306896551724138,7.58,0.3793103448275862,0.2486206896551724,14.42,-0.13450448174348026
149,Mikkel Damsgaard,0.0010923619443755123,35,10,0.1385714285714286,4.8500000000000005,0.2857142857142857,0.1471428571428571,5.1499999999999995,0.03823266805314293
152,Adam Wharton,-0.00044219445684189204,20,0,0.020000000000000007,0.40000000000000013,0.0,-0.020000000000000007,-0.40000000000000013,-0.00884388913683784
153,Daniel Munoz,-0.001105698727062963,15,4,0.17266666666666666,2.59,0.26666666666666666,0.094,1.4100000000000001,-0.016585480905944444
157,Ismaila Sarr,0.003781273844087264,24,7,0.19999999999999998,4.8,0.2916666666666667,0.0916666666666667,2.2,0.09075057225809434
162,Jean-Philippe Mateta,-0.0010809718370611526,25,11,0.2856,7.140000000000001,0.44,0.15439999999999998,3.8599999999999994,-0.027024295926528816
174,Dominic Calvert-Lewin,0.002738804150056327,18,3,0.18055555555555552,3.2499999999999996,0.16666666666666666,-0.013888888888888867,-0.24999999999999956,0.04929847470101388
175,Beto,-0.0022818843792182853,17,6,0.23352941176470587,3.9699999999999998,0.35294117647058826,0.11941176470588238,2.0300000000000002,-0.03879203444671085
176,Iliman Ndiaye,0.0029201676601954894,13,5,0.16384615384615384,2.13,0.38461538461538464,0.2207692307692308,2.87,0.03796217958254136
180,Harry Maguire,-0.001867592939155301,12,2,0.12666666666666668,1.52,0.16666666666666666,0.03999999999999998,0.48,-0.022411115269863613
181,Bruno Fernandes,-0.004425216514392602,23,5,0.11478260869565213,2.639999999999999,0.21739130434782608,0.10260869565217395,2.360000000000001,-0.10177997983102985
183,Alejandro Garnacho,-0.0058439998599988715,28,5,0.11142857142857142,3.1199999999999997,0.17857142857142858,0.06714285714285716,1.8800000000000003,-0.1636319960799684
187,Joshua Zirkzee,0.006423696995289355,11,3,0.24363636363636365,2.68,0.2727272727272727,0.029090909090909056,0.31999999999999984,0.0706606669481829
191,Amad Diallo,0.004199052789243614,13,6,0.19,2.47,0.46153846153846156,0.27153846153846156,3.53,0.05458768626016698
193,Dominic Solanke,0.004453241528823868,46,14,0.2986956521739131,13.740000000000002,0.30434782608695654,0.005652173913043457,0.259999999999998,0.20484911032589792
197,Dejan Kulusevski,-0.009135408964494605,15,7,0.15266666666666664,2.2899999999999996,0.4666666666666667,0.31400000000000006,4.710000000000001,-0.13703113446741907
205,Rodrigo Bentancur,-2.1587746012315574e-05,12,4,0.11333333333333334,1.36,0.3333333333333333,0.21999999999999997,2.6399999999999997,-0.0002590529521477869
210,James Maddison,-0.007037112736630785,17,9,0.23352941176470587,3.9699999999999998,0.5294117647058824,0.2958823529411765,5.03,-0.11963091652272334
214,Pablo Sarabia,0.006577517486893743,12,2,0.3,3.6,0.16666666666666666,-0.13333333333333333,-1.6,0.07893020984272492
215,Toti Gomes,0.0030576656099366765,12,0,0.20333333333333337,2.4400000000000004,0.0,-0.20333333333333337,-2.4400000000000004,0.036691987319240116
216,Matheus Cunha,-0.003643470191605993,36,14,0.11638888888888888,4.1899999999999995,0.3888888888888889,0.2725,9.81,-0.13116492689781575
227,Mohammed Kudus,-0.0015617693699801548,36,4,0.16444444444444445,5.92,0.1111111111111111,-0.053333333333333344,-1.92,-0.05622369731928557
243,Sammie Szmodics,0.010733611623451772,12,4,0.20833333333333334,2.5,0.3333333333333333,0.12499999999999997,1.5,0.12880333948142125
246,Liam Delap,0.0011330443796779466,28,10,0.17214285714285718,4.820000000000001,0.35714285714285715,0.18499999999999997,5.179999999999999,0.0317252426309825
247,Omari Hutchinson,0.0034453877191262406,34,6,0.08823529411764708,3.0000000000000004,0.17647058823529413,0.08823529411764705,2.9999999999999996,0.11714318245029218
249,Julio Enciso,0.0008217849959757742,51,3,0.07294117647058825,3.72,0.058823529411764705,-0.01411764705882354,-0.7200000000000002,0.04191103479476448
257,Jamie Vardy,-0.0039338280259814725,20,6,0.29,5.8,0.3,0.010000000000000009,0.20000000000000018,-0.07867656051962946
258,Wilfred Ndidi,-0.001846609381868877,14,0,0.11285714285714288,1.5800000000000003,0.0,-0.11285714285714288,-1.5800000000000003,-0.025852531346164276
259,Jordan Ayew,0.0019511311388368622,16,6,0.145,2.32,0.375,0.23,3.68,0.031218098221389795
261,James Justin,-0.002033223339699553,14,4,0.08428571428571428,1.18,0.2857142857142857,0.2014285714285714,2.8200000000000003,-0.02846512675579374
272,Joe Aribo,4.319141181256814e-06,12,6,0.2816666666666667,3.38,0.5,0.21833333333333332,2.62,5.1829694175081764e-05
273,Taylor Harwood-Bellis,-0.012526912739610038,21,3,0.08999999999999998,1.8899999999999997,0.14285714285714285,0.052857142857142866,1.1100000000000003,-0.2630651675318108
276,Mateus Fernandes,-0.0019187266364959403,14,2,0.16357142857142856,2.29,0.14285714285714285,-0.020714285714285713,-0.29000000000000004,-0.026862172910943165
277,Paul Onuachu,0.003911375929433053,14,4,0.14785714285714285,2.07,0.2857142857142857,0.13785714285714284,1.9300000000000002,0.05475926301206274
280,Tyler Dibling,-0.0016260345541687943,24,6,0.18875,4.53,0.25,0.06125,1.4699999999999998,-0.039024829300051064
