,player,xg_diff_19,xg_diff_20,xg_diff_21,xg_diff_22,xg_diff_23,shots_19,shots_20,shots_21,shots_22,shots_23,total_shots
584,Albert Sambi Lokonga,,,0.0738,-0.01,0.175,,,20.0,2.0,8.0,
585,Christian Nørgaard,,,0.145,0.065,0.01,,,27.0,19.0,35.0,
586,Nuno Tavares,,,0.03,,0.0,,,23.0,,7.0,
587,Adam Armstrong,,,0.1193,0.1483,,,,47.0,25.0,,
588,Francisco Trincão,,,0.1538,,,,,32.0,,,
589,Trevoh Chalobah,,,0.1014,-0.02,0.025,,,9.0,9.0,2.0,
590,Emmanuel Dennis,,,0.1319,-0.0471,,,,60.0,21.0,,
591,Juraj Kucka,,,0.0764,,,,,46.0,,,
592,Cucho,,,0.164,,,,,34.0,,,
593,Leon Bailey,,,0.0775,0.1136,0.0605,,,21.0,51.0,53.0,
594,Kostas Tsimikas,,,0.09,0.365,,,,8.0,7.0,3.0,
595,Milot Rashica,,,0.0424,,,,,44.0,,,
596,Ben Gibson,,,0.0075,,,,,8.0,,,
597,Pierre Lees-Melou,,,0.1022,,,,,33.0,,,
598,Josh Sargent,,,0.265,,,,,24.0,,,
599,Harvey Elliott,,,-0.13,0.1608,0.1006,,,10.0,36.0,49.0,
600,Ivan Toney,,,0.1196,0.1642,0.07,,,83.0,87.0,51.0,
601,Kristoffer Ajer,,,0.13,,0.185,,,7.0,1.0,12.0,
602,Vitaly Janelt,,,0.1242,0.09,0.1514,,,30.0,14.0,21.0,
603,Ethan Pinnock,,,0.0938,0.1788,0.1775,,,16.0,15.0,19.0,
604,Ken Sema,,,0.01,,,,,3.0,,,
605,Oghenekaro Etebo,,,,,,,,3.0,,,
606,Enock Mwepu,,,0.0713,-0.16,,,,19.0,2.0,,
607,Valentino Livramento,,,0.0167,,0.41,,,12.0,,4.0,
608,Romelu Lukaku,,,0.09,,,,,42.0,,,
609,Marc Guéhi,,,0.018,0.0517,,,,19.0,14.0,5.0,
610,Saman Ghoddos,,,0.15,0.35,0.185,,,8.0,1.0,9.0,
611,Rico Henry,,,0.186,0.135,,,,14.0,22.0,2.0,
612,Axel Tuanzebe,,,0.04,,,,,2.0,,,
613,Mohamed Elyounoussi,,,0.0876,0.146,,,,43.0,36.0,,
614,Taylor Richards,,,,,,,,1.0,,,
615,Jamie Shackleton,,,-0.01,,,,,4.0,,,
616,Odsonne Édouard,,,0.0576,0.2847,0.1674,,,39.0,39.0,51.0,
617,Shandon Baptiste,,,0.01,0.1,0.1,,,12.0,4.0,2.0,
618,Armando Broja,,,0.1584,0.348,0.395,,,45.0,6.0,13.0,
619,Takehiro Tomiyasu,,,0.105,,0.2367,,,11.0,3.0,17.0,
620,Kieran Dowell,,,0.175,,,,,8.0,,,
621,Cristiano Ronaldo,,,0.0405,0.1067,,,,107.0,25.0,,
622,Raphaël Varane,,,-0.03,0.0375,-0.02,,,9.0,8.0,8.0,
623,Jadon Sancho,,,0.2411,0.1022,,,,26.0,21.0,,
624,Hwang Hee-chan,,,0.0883,0.0014,0.1659,,,27.0,18.0,44.0,
625,Junior Firpo,,,0.27,-0.04,,,,11.0,2.0,,
626,Mathias Normann,,,0.238,,,,,26.0,,,
627,Maxwel Cornet,,,0.1,-0.025,0.62,,,46.0,9.0,4.0,
628,Salomón Rondón,,,0.13,0.33,,,,21.0,4.0,,
629,Boubakary Soumaré,,,-0.02,,,,,6.0,1.0,,
630,Nikola Vlašić,,,-0.11,,,,,7.0,,,
631,William Troost-Ekong,,,,,,,,2.0,,,
632,Ozan Tufan,,,,,,,,3.0,,,
633,Pontus Jansson,,,0.114,0.065,,,,22.0,4.0,,
634,Yoane Wissa,,,0.1531,0.1607,0.1675,,,32.0,32.0,67.0,
635,Nathan Collins,,,0.224,,0.175,,,15.0,3.0,10.0,
636,Dimitris Giannoulis,,,-0.04,,,,,2.0,,,
637,Mathias Jensen,,,0.052,0.18,0.1057,,,19.0,23.0,14.0,
638,Emerson,,,0.2675,0.1067,0.1367,,,15.0,17.0,6.0,
639,Michael Olise,,,0.063,0.1164,0.165,,,19.0,51.0,56.0,
640,Romain Perraud,,,0.2833,0.36,,,,19.0,30.0,,
641,Patson Daka,,,0.1567,0.1281,,,,26.0,30.0,,
642,Marcus Forss,,,,,,,,5.0,,,
643,Joe Gelhardt,,,0.0689,0.16,,,,23.0,10.0,,
644,Crysencio Summerville,,,,0.2967,,,,2.0,29.0,,
645,Mathias Jørgensen,,,0.08,0.07,0.235,,,2.0,5.0,8.0,
646,Marc Cucurella,,,0.0633,,0.1525,,,18.0,7.0,8.0,
647,Ashley Fletcher,,,0.06,,,,,2.0,,,
648,Andrew Omobamidele,,,0.28,,,,,2.0,,1.0,
649,Cameron Archer,,,,,0.086,,,1.0,,42.0,
650,Charlie Goode,,,,,,,,2.0,,,
651,Mads Roerslev,,,-0.045,,0.42,,,5.0,3.0,7.0,
652,Imran Louza,,,0.115,,,,,17.0,,,
653,Cole Palmer,,,0.18,0.1133,0.1311,,,4.0,11.0,100.0,
654,James Mcatee,,,,,0.1362,,,1.0,,25.0,
655,Adam Forshaw,,,0.03,,,,,14.0,1.0,,
656,Christos Tzolis,,,0.01,,,,,6.0,,,
657,Saúl Ñíguez,,,0.06,,,,,5.0,,,
658,Kiernan Dewsbury-Hall,,,0.0767,0.2117,,,,21.0,26.0,,
659,Lyanco,,,0.02,0.1125,,,,6.0,12.0,,
660,Oliver Skipp,,,0.0,0.1133,0.39,,,4.0,7.0,4.0,
661,Przemysław Płacheta,,,0.1386,,,,,8.0,,,
662,Jakob Sørensen,,,0.04,,,,,5.0,,,
663,Jonjoe Kenny,,,,,,,,5.0,,,
664,Jarrad Branthwaite,,,0.165,,0.1575,,,3.0,,14.0,
665,Ibrahima Konaté,,,,0.1233,0.13,,,4.0,11.0,11.0,
666,Dominic Thompson,,,,,,,,1.0,,,
667,Bryan Gil,,,0.03,0.05,-0.05,,,1.0,2.0,4.0,
668,Francisco Sierralta,,,0.15,,,,,1.0,,,
669,Edo Kayembe,,,,,,,,6.0,,,
670,Samir Santos,,,0.005,,,,,8.0,,,
671,Philippe Coutinho,,,0.1125,0.1775,-0.03,,,43.0,21.0,3.0,
672,Kaide Gordon,,,0.23,,,,,1.0,,,
673,Mads Bech Sørensen,,,,,,,,2.0,,,
674,Tyler Onyango,,,,,,,,1.0,,,
675,Wout Weghorst,,,0.17,-0.016,,,,30.0,14.0,,
676,Hassane Kamara,,,0.33,,,,,5.0,,,
677,Kieran Trippier,,,0.115,0.2625,0.1625,,,2.0,14.0,8.0,
678,Connor Roberts,,,0.235,,,,,6.0,,,
679,Rodrigo Bentancur,,,0.14,0.1389,0.1125,,,14.0,15.0,18.0,
680,Chiquinho,,,0.03,,,,,5.0,,,
681,Luis Díaz,,,0.1615,0.2562,0.0981,,,38.0,27.0,94.0,
682,Dejan Kulusevski,,,0.2611,0.101,0.1757,,,26.0,43.0,57.0,
683,Cristian Romero,,,0.155,-0.075,0.2256,,,6.0,11.0,24.0,
684,Malang Sarr,,,,,,,,1.0,,,
685,Bruno Guimarães,,,0.1617,0.1725,0.0689,,,23.0,28.0,48.0,
686,Samuel Kalu,,,0.02,,,,,4.0,,,
687,Jon Rowe,,,0.105,,,,,3.0,,,
688,Sam Greenwood,,,,0.315,,,,4.0,12.0,,
689,Charlie Cresswell,,,,,,,,1.0,,,
690,Tariqe Fosu,,,0.15,,,,,1.0,,,
691,Vitaliy Mykolenko,,,0.205,-0.0133,0.118,,,8.0,10.0,26.0,
692,Moisés Caicedo,,,0.02,0.1275,0.0975,,,10.0,28.0,13.0,
693,Tim Iroegbunam,,,,,,,,1.0,,,
694,Josh Dasilva,,,,0.2867,,,,1.0,18.0,,
695,Lewis Bate,,,,,,,,1.0,,,
696,Tony Springett,,,0.47,,,,,1.0,,,
697,Toti Gomes,,,,0.055,0.052,,,1.0,5.0,10.0,
698,Hannibal Mejbri,,,-0.01,,0.16,,,1.0,,1.0,
699,Isaac Price,,,,,,,,1.0,,,
700,Kenedy,,,,,,,,1.0,,,
701,João Palhinha,,,,0.1011,0.185,,,,39.0,45.0,
702,Darwin Núñez,,,,0.1443,0.1409,,,,84.0,107.0,
703,Lewis O'Brien,,,,0.12,,,,,7.0,,
704,Diego Carlos,,,,,0.03,,,,4.0,10.0,
705,Boubacar Kamara,,,,-0.06,0.14,,,,4.0,5.0,
706,Kieffer Moore,,,,0.22,0.1,,,,23.0,6.0,
707,Brenden Aaronson,,,,0.0844,,,,,41.0,,
708,Tyler Adams,,,,,,,,,4.0,,
709,Marc Roca,,,,0.0962,,,,,35.0,,
710,Roméo Lavia,,,,0.11,,,,,12.0,,
711,Joe Aribo,,,,0.1862,,,,,14.0,,
712,Kalidou Koulibaly,,,,0.2575,,,,,11.0,,
713,Halil Dervişoğlu,,,,,,,,,1.0,,
714,Lisandro Martínez,,,,0.04,,,,,10.0,,
715,Erling Haaland,,,,0.1447,0.1646,,,,116.0,113.0,
716,Julián Álvarez,,,,0.195,0.1659,,,,46.0,96.0,
717,Nathan Patterson,,,,0.02,,,,,8.0,4.0,
718,Amadou Onana,,,,0.265,-0.0233,,,,34.0,29.0,
719,Armel Bella Kotchap,,,,0.18,,,,,14.0,,
720,Rasmus Kristensen,,,,-0.016,,,,,13.0,,
721,Sekou Mara,,,,0.18,,,,,17.0,,
722,Ben Pearson,,,,0.09,,,,,2.0,,
723,Aaron Hickey,,,,0.075,0.05,,,,11.0,7.0,
724,Tyrell Malacia,,,,-0.015,,,,,5.0,,
725,Orel Mangala,,,,0.05,-0.01,,,,9.0,10.0,
726,Moussa Niakhate,,,,0.1667,0.04,,,,6.0,5.0,
727,Taiwo Awoniyi,,,,0.038,0.1891,,,,35.0,22.0,
728,Brennan Johnson,,,,0.1562,0.1389,,,,52.0,53.0,
729,Gianluca Scamacca,,,,0.088,,,,,30.0,,
730,Cheick Doucouré,,,,0.1157,0.21,,,,36.0,6.0,
731,Chris Richards,,,,,0.1033,,,,4.0,11.0,
732,Gonçalo Guedes,,,,0.115,,,,,19.0,,
733,Matheus Nunes,,,,0.0011,-0.0175,,,,28.0,10.0,
734,Harry Toffolo,,,,0.03,0.062,,,,6.0,8.0,
735,Ryan Yates,,,,0.234,0.1086,,,,26.0,32.0,
736,Jay Stansfield,,,,,,,,,2.0,,
737,Keane Lewis-Potter,,,,0.12,0.151,,,,7.0,43.0,
738,William Saliba,,,,0.12,0.1367,,,,6.0,10.0,
739,Marcus Tavernier,,,,0.1564,0.1488,,,,37.0,53.0,
740,Sven Botman,,,,0.0529,0.27,,,,22.0,10.0,
741,Luis Sinisterra,,,,0.1227,0.1275,,,,28.0,27.0,
742,Pervis Estupiñán,,,,0.1225,0.0333,,,,29.0,11.0,
743,Sergio Gómez,,,,,,,,,7.0,2.0,
744,Jaidon Anthony,,,,0.0746,-0.01,,,,22.0,2.0,
745,Ryan Christie,,,,0.0122,0.0723,,,,33.0,43.0,
746,Elliot Anderson,,,,0.1825,0.0425,,,,11.0,19.0,
747,Ivan Perišić,,,,0.155,,,,,29.0,2.0,
748,Djed Spence,,,,,,,,,1.0,,
749,Remo Freuler,,,,0.06,,,,,8.0,,
750,Joe Worrall,,,,0.185,,,,,7.0,2.0,
751,Deniz Undav,,,,0.0225,,,,,27.0,,
752,Renan Lodi,,,,,,,,,15.0,,
753,Alexander Isak,,,,0.1591,0.1828,,,,49.0,72.0,
754,Clément Lenglet,,,,-0.01,-0.0367,,,,13.0,8.0,
755,Sasa Kalajdzic,,,,,0.47,,,,1.0,4.0,
756,Lucas Paquetá,,,,0.1871,0.0512,,,,52.0,40.0,
757,Antony,,,,0.1708,0.1412,,,,72.0,43.0,
758,Fabio Vieira,,,,0.095,0.13,,,,15.0,6.0,
759,Mikkel Damsgaard,,,,0.024,0.1575,,,,12.0,9.0,
760,Duje Ćaleta-Car,,,,-0.1,,,,,5.0,,
761,Thilo Kehrer,,,,-0.04,,,,,8.0,,
762,Diego Costa,,,,0.1236,,,,,28.0,,
763,Chem Campbell,,,,,,,,,2.0,,
764,Manuel Akanji,,,,-0.09,0.2,,,,15.0,15.0,
765,Casemiro,,,,0.1891,0.0922,,,,34.0,39.0,
766,Wout Faes,,,,0.09,,,,,13.0,,
767,Kaoru Mitoma,,,,0.1452,0.1813,,,,52.0,34.0,
768,James Garner,,,,0.1467,0.118,,,,9.0,41.0,
769,Scott McKenna,,,,,,,,,2.0,2.0,
770,Samuel Edozie,,,,0.06,,,,,8.0,,
771,Joseph Hodge,,,,,,,,,2.0,,
772,Marcos Senesi,,,,-0.21,0.2175,,,,8.0,13.0,
773,Flynn Downes,,,,-0.06,,,,,4.0,,
774,Hugo Bueno,,,,0.08,,,,,4.0,5.0,
775,Julio Enciso,,,,0.1189,0.1612,,,,38.0,28.0,
776,Jeremy Sarmiento,,,,0.02,,,,,5.0,,
777,Boubacar Traoré,,,,,0.24,,,,3.0,11.0,
778,Tim Ream,,,,0.1,0.01,,,,3.0,1.0,
779,Alejandro Garnacho,,,,0.1844,0.1078,,,,24.0,100.0,
780,Nayef Aguerd,,,,0.235,0.2733,,,,12.0,14.0,
781,Thomas Cannon,,,,-0.07,,,,,1.0,,
782,Levi Colwill,,,,,0.3033,,,,8.0,11.0,
783,Stefan Bajcetic,,,,0.2267,,,,,6.0,,
784,Denis Zakaria,,,,,,,,,2.0,,
785,Wilfried Gnonto,,,,0.1188,,,,,22.0,,
786,Darko Gyabi,,,,,,,,,1.0,,
787,Siriki Dembélé,,,,-0.06,,,,,2.0,,
788,Evan Ferguson,,,,0.1947,0.1185,,,,36.0,33.0,
789,Gustavo Scarpa,,,,0.0,,,,,7.0,,
790,Pape Matar Sarr,,,,,0.1231,,,,2.0,36.0,
791,Ludwig Augustinsson,,,,0.35,,,,,2.0,,
792,Matheus Cunha,,,,0.0829,0.1286,,,,26.0,72.0,
793,Lewis Hall,,,,0.134,0.09,,,,11.0,11.0,
794,João Félix,,,,0.1194,,,,,46.0,,
795,Álex Moreno,,,,0.01,0.135,,,,13.0,8.0,
796,Maximilian Wöber,,,,0.135,,,,,9.0,,
797,Cody Gakpo,,,,0.1817,0.0508,,,,39.0,66.0,
798,Rico Lewis,,,,0.025,0.37,,,,5.0,5.0,
799,Benoît Badiashile,,,,-0.095,0.14,,,,6.0,6.0,
800,Mykhailo Mudryk,,,,0.124,0.06,,,,14.0,35.0,
801,Dango Ouattara,,,,0.11,0.0057,,,,26.0,30.0,
802,Jordan Zemura,,,,,,,,,4.0,,
803,Joe Rothwell,,,,0.005,,,,,3.0,2.0,
804,Danilo,,,,0.1475,0.1371,,,,15.0,23.0,
805,Jan Paul van Hecke,,,,,0.16,,,,2.0,15.0,
806,Idrissa Gana Gueye,,,,0.0783,0.3471,,,,15.0,26.0,
807,Pablo Sarabia,,,,0.064,0.1419,,,,20.0,44.0,
808,Manor Solomon,,,,0.2514,0.12,,,,11.0,7.0,
809,Enzo Fernández,,,,0.1333,0.1269,,,,20.0,45.0,
810,David Datro Fofana,,,,0.0,0.039,,,,3.0,19.0,
811,Kamaldeen Sulemana,,,,0.1843,,,,,24.0,,
812,Carlos Alcaraz,,,,0.183,,,,,24.0,,
813,Paul Onuachu,,,,0.096,,,,,11.0,,
814,Naouirou Ahamada,,,,,0.115,,,,3.0,9.0,
815,Tetê,,,,0.02,,,,,15.0,,
816,Antoine Semenyo,,,,-0.04,0.1097,,,,3.0,70.0,
817,Marcel Sabitzer,,,,0.23,,,,,11.0,,
818,Noni Madueke,,,,0.16,0.1483,,,,12.0,31.0,
819,Victor Bernth Kristiansen,,,,,,,,,3.0,,
820,Felipe,,,,0.05,,,,,13.0,3.0,
821,João Gomes,,,,0.1,0.1186,,,,4.0,26.0,
822,Hamed Junior Traorè,,,,,0.105,,,,6.0,3.0,
823,Weston McKennie,,,,0.155,,,,,13.0,,
824,Jáder Durán,,,,-0.055,0.1686,,,,7.0,20.0,
825,Ellis Simms,,,,0.32,,,,,8.0,,
826,Facundo Buonanotte,,,,-0.0567,0.2312,,,,11.0,21.0,
827,Kevin Schade,,,,0.1025,0.2975,,,,12.0,8.0,
828,Georginio Rutter,,,,,,,,,4.0,,
829,Harry Souttar,,,,-0.01,,,,,8.0,,
830,Saša Lukić,,,,0.06,0.1167,,,,5.0,13.0,
831,André Ayew,,,,0.55,,,,,3.0,,
832,Mateo Joseph,,,,0.07,,,,,1.0,,
833,Illan Meslier,,,,-0.06,,,,,1.0,,
834,Pedro Porro,,,,0.1543,0.1325,,,,26.0,53.0,
835,David Raya,,,,,,,,,1.0,,
836,Yasin Ayari,,,,,,,,,1.0,,
837,Matías Viña,,,,0.1933,,,,,9.0,,
838,Cameron Peupion,,,,,,,,,1.0,,
839,James Bree,,,,0.03,,,,,1.0,,
840,Jakub Kiwior,,,,0.16,0.05,,,,1.0,6.0,
841,Lewis Miley,,,,,0.095,,,,1.0,13.0,
842,Luca Koleosho,,,,,0.062,,,,,23.0,
843,Zeki Amdouni,,,,,0.1171,,,,,48.0,
844,Lyle Foster,,,,,0.2075,,,,,34.0,
845,Anass Zaroury,,,,,0.04,,,,,3.0,
846,Jacob Bruun Larsen,,,,,0.1193,,,,,43.0,
847,Pelly Ruddock Mpanzu,,,,,0.11,,,,,11.0,
848,Mahmoud Dahoud,,,,,0.02,,,,,6.0,
849,Carlton Morris,,,,,0.1823,,,,,66.0,
850,Issa Kaboré,,,,,0.12,,,,,6.0,
851,Simon Adingra,,,,,0.1486,,,,,52.0,
852,Jacob Brown,,,,,0.08,,,,,26.0,
853,William Osula,,,,,0.0612,,,,,21.0,
854,Anel Ahmedhodžić,,,,,0.076,,,,,19.0,
855,Sandro Tonali,,,,,0.47,,,,,3.0,
856,Moussa Diaby,,,,,0.1605,,,,,54.0,
857,Micky van de Ven,,,,,0.1967,,,,,8.0,
858,Nicolas Jackson,,,,,0.0903,,,,,80.0,
859,Axel Disasi,,,,,0.1175,,,,,16.0,
860,Dominik Szoboszlai,,,,,0.0927,,,,,60.0,
861,Facundo Pellistri,,,,,0.085,,,,,4.0,
862,Vinicius Souza,,,,,0.2286,,,,,14.0,
863,Gustavo Hamer,,,,,0.3015,,,,,49.0,
864,Bénie Traoré,,,,,0.35,,,,,1.0,
865,Justin Kluivert,,,,,0.123,,,,,56.0,
866,Destiny Udogie,,,,,0.18,,,,,9.0,
867,Malo Gusto,,,,,0.102,,,,,15.0,
868,Jesurun Rak Sakyi,,,,,-0.11,,,,,5.0,
869,Ryan Giles,,,,,0.02,,,,,2.0,
870,Lewis Dobbin,,,,,0.06,,,,,5.0,
871,Youssef Chermiti,,,,,-0.03,,,,,7.0,
872,Yasser Larouci,,,,,0.02,,,,,6.0,
873,Hannes Delcroix,,,,,-0.055,,,,,4.0,
874,Nicolò Zaniolo,,,,,0.076,,,,,27.0,
875,Nick Pope,,,,,,,,,,1.0,
876,Mads Juel Andersen,,,,,0.64,,,,,3.0,
877,Edson Álvarez,,,,,0.1633,,,,,17.0,
878,Elijah Adebayo,,,,,0.3021,,,,,31.0,
879,Reece Burke,,,,,0.1967,,,,,13.0,
880,Alfie Doughty,,,,,0.1362,,,,,26.0,
881,Chiedozie Ogbene,,,,,0.0871,,,,,35.0,
882,Beto,,,,,0.145,,,,,42.0,
883,Michael Olakigbe,,,,,,,,,,3.0,
884,Luke Harris,,,,,0.0,,,,,1.0,
885,Ian Maatsen,,,,,,,,,,5.0,
886,Josh Cullen,,,,,0.138,,,,,16.0,
887,Ameen Al-Dakhil,,,,,0.1267,,,,,8.0,
888,Pau Torres,,,,,0.1,,,,,12.0,
889,Rasmus Højlund,,,,,0.1175,,,,,38.0,
890,Jean-Ricner Bellegarde,,,,,0.054,,,,,15.0,
891,Jeremy Doku,,,,,0.1221,,,,,55.0,
892,Joško Gvardiol,,,,,0.0862,,,,,32.0,
893,Amari'i Bell,,,,,0.275,,,,,2.0,
894,Cauley Woodrow,,,,,0.1,,,,,16.0,
895,Tom Lockyer,,,,,0.53,,,,,7.0,
896,Ansu Fati,,,,,0.1264,,,,,26.0,
897,Ibrahim Sangaré,,,,,,,,,,8.0,
898,Mike Trésor,,,,,,,,,,5.0,
899,Nicolás Domínguez,,,,,0.195,,,,,22.0,
900,Aaron Ramsey,,,,,0.05,,,,,6.0,
901,Benson Manuel,,,,,0.145,,,,,4.0,
902,Illia Zabarnyi,,,,,0.21,,,,,8.0,
903,Anis Ben Slimane,,,,,-0.02,,,,,8.0,
904,Milos Kerkez,,,,,0.048,,,,,16.0,
905,Wilson Odobert,,,,,0.1179,,,,,49.0,
906,Vitinho,,,,,0.075,,,,,25.0,
907,Murillo,,,,,0.03,,,,,17.0,
908,Teden Mengi,,,,,0.205,,,,,11.0,
909,Rodrigo Muniz,,,,,0.1362,,,,,73.0,
910,Gonzalo Montiel,,,,,,,,,,3.0,
911,Mohammed Kudus,,,,,0.2147,,,,,67.0,
912,Carlos Baleba,,,,,0.276,,,,,21.0,
913,Ryan Gravenberch,,,,,0.1062,,,,,23.0,
914,Yehor Yarmoliuk,,,,,0.034,,,,,11.0,
915,Matheus França,,,,,-0.005,,,,,8.0,
916,Sofyan Amrabat,,,,,-0.03,,,,,3.0,
917,Deivid Washington,,,,,,,,,,1.0,
918,Alex Scott,,,,,0.23,,,,,15.0,
919,Igor,,,,,,,,,,5.0,
920,Andrey Santos,,,,,,,,,,2.0,
921,Calvin Bassey,,,,,0.05,,,,,5.0,
922,Konstantinos Mavropanos,,,,,0.21,,,,,12.0,
923,Jordan Beyer,,,,,,,,,,5.0,
924,Wataru Endo,,,,,0.3333,,,,,10.0,
925,Gabriel Osho,,,,,0.11,,,,,10.0,
926,Jack Hinshelwood,,,,,0.2688,,,,,14.0,
927,Auston Trusty,,,,,0.115,,,,,8.0,
928,Divin Mubama,,,,,,,,,,1.0,
929,Kobbie Mainoo,,,,,0.208,,,,,11.0,
930,Christopher Nkunku,,,,,0.2357,,,,,16.0,
931,Andre Brooks,,,,,-0.015,,,,,9.0,
932,Jarell Quansah,,,,,0.2125,,,,,6.0,
933,Alejo Véliz,,,,,0.72,,,,,2.0,
934,Oscar Bobb,,,,,0.07,,,,,4.0,
935,Jordan Clark,,,,,0.1725,,,,,17.0,
936,Hjalmar Ekdal,,,,,0.0,,,,,2.0,
937,Ben Brereton,,,,,0.1156,,,,,34.0,
938,Conor Bradley,,,,,0.235,,,,,12.0,
939,Morgan Rogers,,,,,0.194,,,,,11.0,
940,Enes Ünal,,,,,0.0587,,,,,23.0,
941,Romain Faivre,,,,,,,,,,2.0,
942,Lorenz Assignon,,,,,0.1425,,,,,9.0,
943,Luke Berry,,,,,0.1525,,,,,8.0,
944,Gio Reyna,,,,,0.05,,,,,5.0,
945,Omari Forson,,,,,,,,,,1.0,
946,Daniel Muñoz,,,,,,,,,,8.0,
947,Adam Wharton,,,,,0.01,,,,,10.0,
948,Nathan Fraser,,,,,0.2,,,,,3.0,
949,Tawanda Chirewa,,,,,0.11,,,,,3.0,
950,Bobby Clark,,,,,,,,,,2.0,
951,Maxime Estève,,,,,,,,,,7.0,
952,Oliver Arblaster,,,,,0.03,,,,,1.0,
953,Daiki Hashioka,,,,,,,,,,2.0,
954,Radu Drăgușin,,,,,,,,,,1.0,
955,Alfie Gilchrist,,,,,0.43,,,,,5.0,
956,Leon Chiwome,,,,,,,,,,2.0,
957,Omari Kellyman,,,,,,,,,,1.0,
958,Fred Onyedinma,,,,,0.08,,,,,5.0,
959,Valentín Barco,,,,,0.05,,,,,4.0,
960,Mark O'Mahony,,,,,,,,,,1.0,
961,Benicio Boaitey,,,,,,,,,,1.0,
962,George Earthy,,,,,0.48,,,,,1.0,
